InterPro	InterPro_Desc	Count
IPR023408	Mechanosensitive ion channel MscS, beta-domain superfamily	5
IPR023485	Phosphotyrosine protein phosphatase I	5
IPR024079	Metallopeptidase, catalytic domain superfamily	5
IPR024156	Small GTPase superfamily, ARF type	5
IPR024936	Cyclophilin-type peptidyl-prolyl cis-trans isomerase	5
IPR025585	Photosystem II Psb27	5
IPR025875	Leucine rich repeat 4	5
IPR026983	Dynein heavy chain	5
IPR026992	Non-haem dioxygenase N-terminal domain	5
IPR027266	GTP-binding protein TrmE/Aminomethyltransferase GcvT, domain 1	5
IPR027482	Sec1-like, domain 2	5
IPR027815	CSC1/OSCA1-like, cytosolic domain	5
IPR028941	WHIM2 domain	5
IPR029752	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1	5
IPR029787	Nucleotide cyclase	5
IPR030395	Glycerophosphodiester phosphodiesterase domain	5
IPR031155	Urea active transporter	5
IPR031167	OBG-type guanine nucleotide-binding (G) domain	5
IPR031330	Glycoside hydrolase 35, catalytic domain	5
IPR032454	Histone H2A, C-terminal domain	5
IPR032458	Histone H2A conserved site	5
IPR032501	Proteasomal ATPase, second OB domain	5
IPR032880	CSC1/OSCA1-like, N-terminal transmembrane domain	5
IPR033135	ClpP, histidine active site	5
IPR033391	Fructose-1-6-bisphosphatase class I, N-terminal	5
IPR033467	Tesmin/TSO1-like CXC domain	5
IPR034164	Pepsin-like domain	5
IPR034193	Proteinase K-like catalytic domain	5
IPR034294	Aquaporin transporter	5
IPR034732	Extended PHD (ePHD) domain	5
IPR034904	Fe-S cluster assembly domain superfamily	5
IPR035984	Acyl-CoA binding protein superfamily	5
IPR036045	Sec1-like superfamily	5
IPR036065	BolA-like superfamily	5
IPR036116	Fibronectin type III superfamily	5
IPR036121	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain superfamily	5
IPR036175	Sec23/Sec24 helical domain superfamily	5
IPR036298	Chalcone isomerase superfamily	5
IPR036314	Manganese/iron superoxide dismutase, C-terminal domain superfamily	5
IPR036324	Manganese/iron superoxide dismutase, N-terminal domain superfamily	5
IPR036425	MoaB/Mog-like domain superfamily	5
IPR036526	Carbon-nitrogen hydrolase superfamily	5
IPR036554	GHMP kinase, C-terminal domain superfamily	5
IPR036570	HORMA domain superfamily	5
IPR036603	RNA polymerase, RBP11-like subunit	5
IPR036624	Hcp1-like superfamily	5
IPR036651	Glutamine synthetase, N-terminal domain superfamily	5
IPR036678	MutS, connector domain superfamily	5
IPR036775	DNA polymerase, Y-family, little finger domain superfamily	5
IPR036856	Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead superfamily	5
IPR036871	PX domain superfamily	5
IPR036918	Pyruvate kinase, C-terminal domain superfamily	5
IPR037062	Malic enzyme, N-terminal domain superfamily	5
IPR037069	Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily	5
IPR037165	Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding domain superfamily	5
IPR038330	TspO/MBR-related superfamily	5
IPR038450	Photosystem II Psb27 superfamily	5
IPR038508	ArfGAP domain superfamily	5
IPR039361	Cyclin	5
IPR040122	Importin beta family	5
IPR040457	Gamma tubulin complex component, C-terminal	5
IPR041233	Alpha galactosidase, C-terminal beta sandwich domain	5
IPR041470	Gamma tubulin complex component protein, N-terminal	5
IPR042087	DNA polymerase family B, thumb domain	5
IPR042098	Taurine dioxygenase TauD-like superfamily	5
IPR042102	RNA polymerase Rpb1, domain 3 superfamily	5
IPR042241	Gamma-tubulin complex component, C-terminal domain superfamily	5
IPR043136	B30.2/SPRY domain superfamily	5
IPR043145	Zinc finger, ZZ-type superfamily	5
IPR043151	Bromo adjacent homology (BAH) domain superfamily	5
IPR043822	EsV-1-7 cysteine-rich motif	5
IPR044015	Fructose-1-6-bisphosphatase class 1, C-terminal	5
IPR044560	Monooxygenase-like	5
IPR044644	Multi antimicrobial extrusion protein DinF-like	5
IPR044849	Ion channel CASTOR/POLLUX/SYM8-like	5
IPR044925	His-Me finger superfamily	5
IPR045024	Alternative NADH dehydrogenase	5
IPR045122	Calcium permeable stress-gated cation channel 1-like	5
IPR045210	PUB protein, U-box domain, plant	5
IPR045252	Lysophosphatidylcholine acyltransferase LPCAT1-like	5
IPR045867	DNA-directed RNA polymerase, subunit beta-prime	5
IPR046336	Lon protease, N-terminal domain superfamily	5
IPR046345	TraB/PryY-like	5
IPR047150	SGT	5
IPR047173	STE20-related kinase adapter protein alpha/beta-like	5
IPR047854	Replication factor C, lid domain	5
IPR048912	Beta-galactosidase 1-like , first all-beta domain	5
IPR048913	Beta-galactosidase, galactose-binding domain	5
IPR049453	Integral membrane bound transporter domain	5
IPR050216	Leucine-rich repeat domain-containing protein	5
IPR050231	Iron/ascorbate-dependent oxidoreductase	5
IPR050235	Casein Kinase 1 Ser/Thr Protein Kinase	5
IPR050259	Short-chain dehydrogenases/reductases	5
IPR050281	Flavin monoamine oxidase and related enzymes	5
IPR050425	NAD(P)-dependent dehydratase-like	5
IPR050496	SNF2/RAD54 Helicase and DNA Repair	5
IPR050517	DNA Damage Response and Repair Kinase	5
IPR050560	Transcription factors Myb-like	5
IPR050567	Mitochondrial Carrier	5
IPR050611	ATP-binding cassette sub-family F member, EF3 subfamily	5
IPR050626	Peptidase M16	5
IPR050648	F-box/Leucine-rich repeat	5
IPR050745	Multifunctional regulatory proteins	5
IPR050817	DjlA DnaK co-chaperone	5
IPR050818	Potassium channel, voltage-dependent, EAG/ELK/ERG-like, animal-type	5
IPR050910	JMJD6 family arginine demethylases/lysyl-hydroxylases	5
IPR050923	Cellular Process Regulator and RNA Processing Protein	5
IPR050925	Rhomboid protease S54	5
IPR051048	Peptidase S8/S53 subtilisin kexin sedolisin	5
IPR051144	Formin homology domain-containing protein	5
IPR051258	Diverse Substrate Transporter	5
IPR052085	WD repeat, SAM and U-box domain-containing	5
IPR052398	Inactive ubiquitin carboxyl-terminal hydrolase	5
IPR052514	S-adenosyl-L-methionine-dependent methyltransferase	5
IPR053951	K+ potassium transporter, integral membrane domain	5
IPR000092	Polyprenyl synthetase	4
IPR000169	Cysteine peptidase, cysteine active site	4
IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	4
IPR000183	Ornithine/DAP/Arg decarboxylase	4
IPR000217	Tubulin	4
IPR000237	GRIP domain	4
IPR000243	Peptidase T1A, proteasome beta-subunit	4
IPR000269	Copper amine oxidase	4
IPR000277	Cys/Met metabolism, pyridoxal phosphate-dependent enzyme	4
IPR000305	GIY-YIG endonuclease	4
IPR000352	Peptide chain release factor class I	4
IPR000357	HEAT repeat	4
IPR000409	BEACH domain	4
IPR000462	CDP-alcohol phosphatidyltransferase	4
IPR000547	Clathrin, heavy chain/VPS, 7-fold repeat	4
IPR000649	Initiation factor 2B-related	4
IPR000683	Gfo/Idh/MocA-like oxidoreductase, N-terminal	4
IPR000700	PAS-associated, C-terminal	4
IPR000722	RNA polymerase, alpha subunit	4
IPR000741	Fructose-bisphosphate aldolase, class-I	4
IPR000760	Inositol monophosphatase-like	4
IPR000770	SAND domain	4
IPR000878	Tetrapyrrole methylase	4
IPR000897	Signal recognition particle, SRP54 subunit, GTPase domain	4
IPR000904	Sec7 domain	4
IPR001025	Bromo adjacent homology (BAH) domain	4
IPR001094	Flavodoxin-like	4
IPR001164	Arf GTPase activating protein	4
IPR001204	Phosphate transporter	4
IPR001216	Cysteine synthase/cystathionine beta-synthase, pyridoxal-phosphate attachment site	4
IPR001222	Zinc finger, TFIIS-type	4
IPR001227	Acyl transferase domain superfamily	4
IPR001232	S-phase kinase-associated protein 1-like	4
IPR001356	Homeodomain	4
IPR001373	Cullin, N-terminal	4
IPR001374	R3H domain	4
IPR001401	Dynamin, GTPase domain	4
IPR001406	Pseudouridine synthase I, TruA	4
IPR001503	Glycosyl transferase family 10	4
IPR001544	Aminotransferase class IV	4
IPR001567	Peptidase M3A/M3B catalytic domain	4
IPR001607	Zinc finger, UBP-type	4
IPR001610	PAC motif	4
IPR001678	SAM-dependent methyltransferase RsmB-F/NOP2-type domain	4
IPR001683	Phox homology	4
IPR001708	Membrane insertase YidC/ALB3/OXA1/COX18	4
IPR001727	GDT1-like	4
IPR001765	Carbonic anhydrase	4
IPR001846	von Willebrand factor, type D domain	4
IPR001870	B30.2/SPRY domain	4
IPR001900	Ribonuclease II/R	4
IPR001943	UVR domain	4
IPR002173	Carbohydrate/purine kinase, PfkB, conserved site	4
IPR002192	Pyruvate phosphate dikinase, AMP/ATP-binding	4
IPR002346	Molybdopterin dehydrogenase, FAD-binding	4
IPR002379	V-ATPase proteolipid subunit C-like domain	4
IPR002478	PUA domain	4
IPR002550	CNNM, transmembrane domain	4
IPR002563	Flavin reductase like domain	4
IPR002569	Peptide methionine sulphoxide reductase MsrA domain	4
IPR002655	Acyl-CoA oxidase, C-terminal	4
IPR002716	PIN domain	4
IPR002775	DNA/RNA-binding protein Alba-like	4
IPR002792	TRAM domain	4
IPR002800	Chorismate pyruvate-lyase Rv2949c-like	4
IPR002888	[2Fe-2S]-binding	4
IPR002913	START domain	4
IPR002935	Class I-like SAM-dependent O-methyltransferase	4
IPR002999	Tudor domain	4
IPR003016	2-oxo acid dehydrogenase, lipoyl-binding site	4
IPR003131	Potassium channel tetramerisation-type BTB domain	4
IPR003316	E2F/DP family, winged-helix DNA-binding domain	4
IPR003349	JmjN domain	4
IPR003511	HORMA domain	4
IPR003611	Nuclease associated modular domain 3	4
IPR003617	Transcription elongation factor, TFIIS/CRSP70, N-terminal, sub-type	4
IPR003855	Potassium transporter	4
IPR003891	Initiation factor eIF-4 gamma, MA3	4
IPR004127	Prefoldin alpha-like	4
IPR004143	Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL), catalytic domain	4
IPR004167	Peripheral subunit-binding domain	4
IPR004176	Clp, repeat (R) domain	4
IPR004179	Sec63 domain	4
IPR004217	Tim10-like	4
IPR004244	Transposase, L1	4
IPR004333	SBP domain	4
IPR004345	TB2/DP1/HVA22	4
IPR004358	Signal transduction histidine kinase-related protein, C-terminal	4
IPR004480	Monothiol glutaredoxin-related	4
IPR004837	Sodium/calcium exchanger membrane region	4
IPR004859	Xrn1, N-terminal	4
IPR004860	Homing endonuclease, LAGLIDADG domain	4
IPR004871	Cleavage/polyadenylation specificity factor, A subunit, C-terminal	4
IPR005025	NADPH-dependent FMN reductase-like domain	4
IPR005062	SAC3/GANP/THP3, conserved domain	4
IPR005467	Histidine kinase domain	4
IPR005517	Translation elongation factor EFG/EF2, domain IV	4
IPR005645	Serine hydrolase domain	4
IPR005746	Thioredoxin	4
IPR005805	Rieske iron-sulphur protein, C-terminal	4
IPR005821	Ion transport domain	4
IPR005839	Methylthiotransferase	4
IPR005844	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I	4
IPR005856	Cysteine synthase	4
IPR006043	Nucleobase cation symporter 2 family	4
IPR006074	GTP1/OBG, conserved site	4
IPR006084	XPG/Rad2 endonuclease	4
IPR006085	XPG, N-terminal	4
IPR006086	XPG-I domain	4
IPR006096	Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase, C-terminal	4
IPR006115	6-phosphogluconate dehydrogenase, NADP-binding	4
IPR006134	DNA-directed DNA polymerase, family B, multifunctional domain	4
IPR006214	Bax inhibitor 1-related	4
IPR006224	Pseudouridine synthase, RluA-like, conserved site	4
IPR006534	P-type ATPase, subfamily IIIA	4
IPR006554	Helicase-like, DEXD box c2 type	4
IPR006555	ATP-dependent helicase, C-terminal	4
IPR006592	RNA polymerase, N-terminal	4
IPR006598	Glycosyl transferase CAP10 domain	4
IPR006603	PQ-loop repeat	4
IPR006636	Heat shock chaperonin-binding	4
IPR006639	Presenilin/signal peptide peptidase	4
IPR006683	Thioesterase domain	4
IPR006766	Protein EXORDIUM-like	4
IPR006876	LMBR1-like membrane protein	4
IPR006900	Sec23/Sec24, helical domain	4
IPR007066	RNA polymerase Rpb1, domain 3	4
IPR007080	RNA polymerase Rpb1, domain 1	4
IPR007081	RNA polymerase Rpb1, domain 5	4
IPR007083	RNA polymerase Rpb1, domain 4	4
IPR007120	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain	4
IPR007121	RNA polymerase, beta subunit, conserved site	4
IPR007138	Antibiotic biosynthesis monooxygenase domain	4
IPR007173	D-arabinono-1,4-lactone oxidase, C-terminal domain	4
IPR007466	Peptidyl-arginine deiminase, Porphyromonas-type	4
IPR007627	RNA polymerase sigma-70 region 2	4
IPR007641	RNA polymerase Rpb2, domain 7	4
IPR007642	RNA polymerase Rpb2, domain 2	4
IPR007645	RNA polymerase Rpb2, domain 3	4
IPR007685	RelA/SpoT	4
IPR007867	Glucose-methanol-choline oxidoreductase, C-terminal	4
IPR008183	Aldose 1-/Glucose-6-phosphate 1-epimerase	4
IPR008274	Aldehyde oxidase/xanthine dehydrogenase, first molybdopterin binding domain	4
IPR008948	L-Aspartase-like	4
IPR009030	Growth factor receptor cysteine-rich domain superfamily	4
IPR009044	ssDNA-binding transcriptional regulator	4
IPR009056	Cytochrome c-like domain	4
IPR009061	Putative DNA-binding domain superfamily	4
IPR009075	Acyl-CoA dehydrogenase/oxidase, C-terminal	4
IPR009543	Vacuolar protein sorting-associated protein 13, VPS13 adaptor binding domain	4
IPR010420	CASTOR/POLLUX/SYM8 ion channel, conserved domain	4
IPR010614	RAD3-like helicase, DEAD	4
IPR010658	Nodulin-like	4
IPR010919	SAND-like domain superfamily	4
IPR010935	SMCs flexible hinge	4
IPR010997	HRDC-like superfamily	4
IPR011014	Mechanosensitive ion channel MscS, transmembrane-2	4
IPR011044	Quinoprotein amine dehydrogenase, beta chain-like	4
IPR011063	tRNA(Ile)-lysidine/2-thiocytidine synthase, N-terminal	4
IPR011084	DNA repair metallo-beta-lactamase	4
IPR011546	Peptidase M41, FtsH extracellular	4
IPR011692	Stress up-regulated Nod 19	4
IPR011948	Dullard phosphatase domain, eukaryotic	4
IPR012000	Thiamine pyrophosphate enzyme, central domain	4
IPR012258	Acyl-CoA oxidase	4
IPR012295	TBP domain superfamily	4
IPR012336	Thioredoxin-like fold	4
IPR012416	CALMODULIN-BINDING PROTEIN60	4
IPR012850	Alpha-amylase, C-terminal beta-sheet	4
IPR012961	ATP-dependent RNA helicase Ski2/MTR4, C-terminal	4
IPR012990	Sec23/Sec24 beta-sandwich	4
IPR013020	ATP-dependent helicase Rad3/Chl1-like	4
IPR013024	Gamma-glutamyl cyclotransferase-like	4
IPR013041	Clathrin adaptor, appendage, Ig-like subdomain superfamily	4
IPR013217	Methyltransferase type 12	4
IPR013324	RNA polymerase sigma factor, region 3/4-like	4
IPR013325	RNA polymerase sigma factor, region 2	4
IPR013594	Dynein heavy chain, tail	4
IPR013632	DNA recombination and repair protein Rad51-like, C-terminal	4
IPR013750	GHMP kinase, C-terminal domain	4
IPR013760	DNA topoisomerase, type IIA-like domain superfamily	4
IPR013786	Acyl-CoA dehydrogenase/oxidase, N-terminal	4
IPR013792	RNA 3'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta	4
IPR013848	Methylthiotransferase, N-terminal	4
IPR013899	Domain of unknown function DUF1771	4
IPR014043	Acyl transferase domain	4
IPR014719	Ribosomal protein bL12, C-terminal/adaptor protein ClpS-like	4
IPR014724	RNA polymerase Rpb2, OB-fold	4
IPR014776	Tetrapyrrole methylase, subdomain 2	4
IPR014777	Tetrapyrrole methylase, subdomain 1	4
IPR014876	DEK, C-terminal	4
IPR015414	Transmembrane protein TMEM64	4
IPR015415	Spastin/Vps4, C-terminal	4
IPR015433	Phosphatidylinositol kinase	4
IPR015712	DNA-directed RNA polymerase, subunit 2	4
IPR015798	Copper amine oxidase, catalytic domain	4
IPR015800	Copper amine oxidase, N2-terminal	4
IPR015802	Copper amine oxidase, N3-terminal	4
IPR016036	Malonyl-CoA ACP transacylase, ACP-binding	4
IPR016055	Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III	4
IPR016088	Chalcone isomerase, 3-layer sandwich	4
IPR016089	Chalcone isomerase, orthogonal bundle domain superfamily	4
IPR016095	Large ribosomal subunit protein uL1, 3-layer alpha/beta-sandwich domain	4
IPR016098	Cyclase-associated protein CAP/septum formation inhibitor MinC, C-terminal	4
IPR016102	Succinyl-CoA synthetase-like	4
IPR016143	Citrate synthase-like, small alpha subdomain	4
IPR016158	Cullin homology domain	4
IPR016182	Copper amine oxidase, N-terminal	4
IPR016192	APOBEC/CMP deaminase, zinc-binding	4
IPR017261	DNA mismatch repair protein MutS/MSH	4
IPR017754	Agmatine deiminase	4
IPR017975	Tubulin, conserved site	4
IPR018097	EGF-like calcium-binding, conserved site	4
IPR018209	Pyruvate kinase, active site	4
IPR018215	ClpP, Ser active site	4
IPR018368	ClpA/B, conserved site 1	4
IPR018517	tRNA-dihydrouridine synthase, conserved site	4
IPR018846	Cleavage/polyadenylation specificity factor, A subunit, N-terminal	4
IPR018866	Zinc-finger domain of monoamine-oxidase A repressor R1	4
IPR018997	PUB domain	4
IPR019479	Peroxiredoxin, C-terminal	4
IPR019515	Vacuolar protein sorting-associated protein 54, N-terminal	4
IPR019793	Peroxidases heam-ligand binding site	4
IPR019801	Glycoside hydrolase, family 35, conserved site	4
IPR020095	Pseudouridine synthase I, TruA, C-terminal	4
IPR020097	Pseudouridine synthase I, TruA, alpha/beta domain	4
IPR020548	Fructose-1,6-bisphosphatase, active site	4
IPR020578	Aminotransferase class-V, pyridoxal-phosphate binding site	4
IPR020588	DNA recombination and repair protein RecA-like, ATP-binding domain	4
IPR020612	Methylthiotransferase, conserved site	4
IPR020818	GroES chaperonin family	4
IPR020946	Flavin monooxygenase-like	4
IPR020966	Aluminum-activated malate transporter	4
IPR021131	Large ribosomal subunit protein uL15/eL18	4
IPR021151	GINS subunit, domain A	4
IPR022617	Rad60/SUMO-like domain	4
IPR022644	Orn/DAP/Arg decarboxylase 2, N-terminal	4
IPR022801	Small ribosomal subunit protein uS4	4
IPR023123	Tubulin, C-terminal	4
IPR023170	Helix-hairpin-helix, base-excision DNA repair, C-terminal	4
IPR023179	GTP-binding protein, orthogonal bundle domain superfamily	4
IPR023267	RNA (C5-cytosine) methyltransferase	4
IPR023366	ATP synthase subunit alpha, N-terminal domain-like superfamily	4
IPR023394	Sec7, C-terminal domain superfamily	4
IPR023674	Ribosomal protein uL1-like	4
IPR024077	Neurolysin/Thimet oligopeptidase, domain 2	4
IPR024084	Isopropylmalate dehydrogenase-like domain	4
IPR024395	CLASP N-terminal domain	4
IPR024704	Structural maintenance of chromosomes protein	4
IPR025313	ATP-dependent rRNA helicase SPB4-like, C-terminal extension	4
IPR025659	Tubby-like, C-terminal	4
IPR025660	Cysteine peptidase, histidine active site	4
IPR025687	C4-type zinc-finger of DNA polymerase delta	4
IPR026050	C1GALT1/C1GALT1-specific chaperone 1	4
IPR026055	Fatty acyl-CoA reductase	4
IPR026741	Protein strawberry notch	4
IPR026854	Vacuolar protein sorting-associated protein 13-like, N-terminal domain	4
IPR026913	Probable methyltransferase-like protein 24	4
IPR026937	Strawberry notch, helicase C domain	4
IPR027073	5'-3' exoribonuclease	4
IPR027268	Peptidase M4/M1, CTD superfamily	4
IPR027421	DNA polymerase lambda lyase domain superfamily	4
IPR027470	Cation efflux protein, cytoplasmic domain	4
IPR028098	Glycosyltransferase subfamily 4-like, N-terminal domain	4
IPR028343	Fructose-1,6-bisphosphatase	4
IPR028364	Ribosomal protein uL1/ribosomal biogenesis protein	4
IPR028565	Mu homology domain	4
IPR028978	Chorismate pyruvate-lyase/UbiC transcription regulator-associated domain superfamily	4
IPR029041	FAD-linked oxidoreductase-like	4
IPR029149	Creatinase/Aminopeptidase P/Spt16, N-terminal	4
IPR031127	E3 ubiquitin ligase RBR family	4
IPR031645	Vacuolar protein sorting-associated protein 13, DH-like domain	4
IPR031968	VASt domain	4
IPR032284	ATP-dependent DNA helicase RecQ, zinc-binding domain	4
IPR032691	Mon2/Sec7/BIG1-like, HUS domain	4
IPR032698	Protein SirB1, N-terminal	4
IPR032781	ABC-transporter extension domain	4
IPR032801	Peroxiredoxin-like 2A/B/C	4
IPR033248	Transketolase, C-terminal domain	4
IPR033658	Glutaredoxin, PICOT-like	4
IPR033749	Polyprenyl synthetase, conserved site	4
IPR033756	Flagellum site-determining protein YlxH/ Fe-S cluster assembling factor NBP35	4
IPR034704	Large ribosomal subunit protein bL28/bL31-like superfamily	4
IPR034733	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	4
IPR035427	Tim10-like domain superfamily	4
IPR035587	DUS-like, FMN-binding domain	4
IPR035921	F/V-ATP synthase subunit C superfamily	4
IPR035996	Tetrapyrrole methylase superfamily	4
IPR035999	Sec7 domain superfamily	4
IPR036038	Aminotransferase-like, PLP-dependent enzymes	4
IPR036168	AP-2 complex subunit mu, C-terminal superfamily	4
IPR036174	Zinc finger, Sec23/Sec24-type superfamily	4
IPR036180	Gelsolin-like domain superfamily	4
IPR036224	GINS, helical bundle-like domain superfamily	4
IPR036227	Large ribosomal subunit protein uL15/eL18 superfamily	4
IPR036237	Xylose isomerase-like superfamily	4
IPR036277	SMCs flexible hinge superfamily	4
IPR036279	5'-3' exonuclease, C-terminal domain superfamily	4
IPR036317	Cullin homology domain superfamily	4
IPR036339	PUB-like domain superfamily	4
IPR036372	BEACH domain superfamily	4
IPR036460	Copper amine oxidase, catalytic domain superfamily	4
IPR036509	Peptide methionine sulphoxide reductase MsrA superfamily	4
IPR036625	E3-binding domain superfamily	4
IPR036628	Clp, N-terminal domain superfamily	4
IPR036683	CO dehydrogenase flavoprotein, C-terminal domain superfamily	4
IPR036837	Cation efflux protein, cytoplasmic domain superfamily	4
IPR036874	Carbonic anhydrase superfamily	4
IPR036882	Alba-like domain superfamily	4
IPR036884	[2Fe-2S]-binding domain superfamily	4
IPR036893	SBP domain superfamily	4
IPR036909	Cytochrome c-like domain superfamily	4
IPR036941	Receptor L-domain superfamily	4
IPR036969	Citrate synthase superfamily	4
IPR037033	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain superfamily	4
IPR037034	RNA polymerase Rpb2, domain 2 superfamily	4
IPR037124	GroES chaperonin superfamily	4
IPR037278	ARFGAP/RecO-like zinc finger	4
IPR037401	SnoaL-like domain	4
IPR037898	NudC family	4
IPR038071	UROD/MetE-like superfamily	4
IPR038120	RNA polymerase Rpb1, funnel domain superfamily	4
IPR038135	Methylthiotransferase, N-terminal domain superfamily	4
IPR038577	GT10-like, C-terminal domain superfamily	4
IPR039010	Synaptotagmin, SMP domain	4
IPR039123	Protein phosphatase PTC7 homolog	4
IPR039155	Malectin	4
IPR039175	Mitochondrial import inner membrane translocase subunit TIM22	4
IPR039187	Strawberry notch, AAA domain	4
IPR039761	Ribosome biogenesis protein Bms1/Tsr1	4
IPR040217	ACT domain-containing protein ACR1-12	4
IPR040221	CDCA7/CDA7L	4
IPR041095	Elongation Factor G, domain II	4
IPR041243	STI1/HOP, DP domain	4
IPR041373	Reverse transcriptase, RNase H-like domain	4
IPR041492	Haloacid dehalogenase-like hydrolase	4
IPR042097	Aminopeptidase N-like , N-terminal domain superfamliy	4
IPR042101	Signal recognition particle SRP54, N-terminal domain superfamily	4
IPR042529	Initiation factor 2B-like, C-terminal	4
IPR043130	CDP-alcohol phosphatidyltransferase, transmembrane domain	4
IPR043132	Branched-chain-amino-acid aminotransferase-like, C-terminal	4
IPR043141	Large ribosomal subunit protein uL10-like domain superfamily	4
IPR043154	Sec1-like, domain 1	4
IPR043597	Trichohyalin-plectin-homology domain	4
IPR044150	Histone deacetylase 11	4
IPR044525	Digalactosyldiacylglycerol synthase 1/2	4
IPR044611	Ubiquitin-protein ligase E3A/B/C-like	4
IPR044817	Squamosa promoter-binding-like protein	4
IPR044880	NCX, central ion-binding domain superfamily	4
IPR044893	RNA polymerase Rpb1, clamp domain superfamily	4
IPR045028	Helicase superfamily 1/2, DinG/Rad3-like	4
IPR045069	Multidrug and toxic compound extrusion family, eukaryotic	4
IPR045095	Ancient conserved domain protein family	4
IPR045107	SAC3/GANP/THP3	4
IPR045257	Dihydrolipoamide acetyltransferase/Pyruvate dehydrogenase protein X component	4
IPR045279	Two-component response regulator ARR-like	4
IPR045311	Long-chain fatty acid CoA synthetase, eukaryotic	4
IPR045357	Aminopeptidase N-like , N-terminal domain	4
IPR045877	RNA-binding protein ZFP36-like	4
IPR046867	Aldehyde oxidase/xanthine dehydrogenase, second molybdopterin binding domain	4
IPR047021	RNA exonuclease REXO1/REXO3/REXO4-like	4
IPR049560	SAM-dependent methyltransferase RsmB-F/NOP2-type, catalytic core	4
IPR050100	Translation factor GTPase superfamily members	4
IPR050103	Class-III Pyridoxal-phosphate-dependent Aminotransferase	4
IPR050130	ATP-dependent Clp protease/Chaperone ClpA/ClpB	4
IPR050151	Class-I pyridine nucleotide-disulfide oxidoreductase	4
IPR050180	RNR Ribonuclease	4
IPR050227	Ras-related protein Rab	4
IPR050238	DNA Replication and Repair Clamp Loader Complex	4
IPR050239	Sigma-70 factor family, RNA polymerase initiation factors	4
IPR050257	Large ribosomal subunit protein eL8/uL1-like	4
IPR050291	Cation Diffusion Facilitator Transporter	4
IPR050292	Glutamine Synthetase	4
IPR050304	Microtubule-severing AAA ATPase	4
IPR050321	Glycosyltransferase 2/OpgH subfamily	4
IPR050342	High Mobility Group Box (HMGB)	4
IPR050358	RSE1/DDB1/CFT1/CPSF1	4
IPR050391	Mitochondrial Metabolite Transporter	4
IPR050410	CCR4/nocturin mRNA turnover and transcription	4
IPR050441	RNA-binding motif	4
IPR050464	Zeta Carotene Desaturase and Related Oxidoreductases	4
IPR050491	Bacterial Cell Wall Synthesis and Modification	4
IPR050493	FAD-dependent Monooxygenases in Biosynthesis and Metabolism	4
IPR050494	Serine/threonine and dual-specificity kinase	4
IPR050568	Transcription/DNA replication regulator	4
IPR050620	Thioredoxin H-type-like	4
IPR050642	Pyruvate Dehydrogenase E1 Alpha Subunit	4
IPR050687	Dynein Intermediate Chain	4
IPR050701	Histone Modification Regulator	4
IPR050704	Peptidase C85-like	4
IPR050749	Glycosyl Hydrolase Family 47	4
IPR050754	Peptidyl-prolyl cis-trans isomerase FKBP4/5/8-like	4
IPR050825	RNA-binding protein 42/Polyadenylate-binding protein RBP45/47-like	4
IPR050835	ATP-binding cassette sub-family D	4
IPR050846	TLC domain-containing	4
IPR050869	Histone-lysine N-methyltransferase	4
IPR050904	Cell adhesion and biosynthesis-related protein	4
IPR050907	Serine/Arginine-Rich Splicing Factor	4
IPR050962	Phosphate-binding protein PstS	4
IPR050994	Arabidopsis Inactive Receptor-like Kinases	4
IPR051044	Monoacylglycerol and Diacylglycerol Lipase	4
IPR051100	DnaJ subfamily B/C chaperone co-factors	4
IPR051164	NmrA-like oxidoreductase	4
IPR051201	Chloroplastic and Bacterial Serine Proteases	4
IPR051468	Fungal Secondary Metabolite SDRs	4
IPR051477	Plant Cell Wall Expansin	4
IPR051543	Serine Peptidase S9A Subfamily	4
IPR051558	Metallophosphoesterase Purple Acid Phosphatase	4
IPR051834	RING finger E3 ubiquitin-protein ligase	4
IPR051913	Glycosyl Hydrolase 2 Domain-Containing Protein	4
IPR051927	Zinc Chaperone and cDPG Synthetase	4
IPR052578	Phosphatidylinositol Transfer CRAL-TRIO Domain-Containing Protein	4
IPR052625	Chlorophyll b Reductase	4
IPR052728	Oxygen and lipid transport regulator	4
IPR052751	Plant MAP kinase kinase kinase	4
IPR053021	Chloroplastic Adenylate Kinase	4
IPR053905	Elongation factor G-like, domain II	4
IPR053952	K+ potassium transporter, C-terminal domain	4
IPR000023	Phosphofructokinase domain	3
IPR000111	Glycoside hydrolase family 27/36, conserved site	3
IPR000152	EGF-type aspartate/asparagine hydroxylation site	3
IPR000156	Ran binding domain	3
